Shim ID,FHFC Key,HUD REMS,Public Housing Development #,Florida DOR Parcel,Development Name,Street Address,City,Zip Code,County,County Size,Housing Programs,Total Units,Assisted Units,HUD/RD Rental Assistance Units,Public Housing ACC Units,FHFC Funded,HUD Multifamily Funded,HUD Public Housing Funded,RD Funded,LHFA Funded,Target Population,Occupancy Status,Affordability Start Date,Year built (property appraiser),Owner Type,Overall year of subsidy expiration,Latitude,Longitude,Census Tract,Census Block Group,Number of 0 BR,Number of 1 BR,Number of 2 BR,Number of 3 BR,Number of 4 or more BR,Developer Name and Contact Information,Owner Name and Contact information,Units <=35% AMI,Units 40-50% AMI,Units 55-60% AMI,Units 65-80% AMI,Units >80% AMI,0 BR Av. Rent ($),1 BR Av. Rent ($),2 BR Av. Rent ($),3 BR Av. Rent ($),4+ BR Av. Rent ($),Average Rent/FMR ratio,0 BR Utility Allowance ($),1 BR Utility Allowance ($),2 BR Utility Allowance ($),3 BR Utility Allowance ($),4 BR Utility Allowance ($),Occupancy Rate,Last Property Sale Price ($),Last Property Sale Date,Just Value ($),Has Housing Credits 4%,Has Housing Credits 9%,Has SAIL,Has State Bonds,Has State HOME,Has EHCL,Has Demonstration,Has PLP,Has Rental Assistance/HUD,Has Section 202 Capital Advance,Has Section 202 Direct Loan,Has Section 811,Has HUD Use Agreement,Has Section 542,Has Section 207,Has Section 231,Has Public Housing,RAD conversion,Has Rental Assistance/RD,Has Section 515,Has Section 514/516,Has Local Bonds,HC 4% Funding Year,HC 9% Funding Year,SAIL Funding Year,State Bonds Funding Year,State HOME Funding Year,HUD Rental Assistance Current Contract Start Date,Section 202 Direct Loan Funding Date,Rental Assistance/RD Funding Date,Section 515 Funding Date,Section 514/516 Funding Date,HC 4% Expiration Date,HC 9% Expiration Date,SAIL Expiration Date,State Bonds Expiration Date,State HOME Expiration Date,HUD Mark-to-Market Est. Expiration Date,HUD Rental Assistance Expiration Date,HUD Section 202 Capital Advance Expiration Date,HUD Section 202 Direct Loan Maturity Date,HUD Section 811 Capital Advance Expiration Date,HUD Use Agreement Expiration,Section 514/516 Maturity Date,Section 515 Maturity Date,Local Bonds Maturity Date,FHFC Preservation Set-Aside,In QCT 2022,In DDA 2022,Average Household Size (Persons),% of Households w/Elderly Member,% of Households w/Children,% White (non-Hispanic),% Asian (non-Hispanic),% Black (non-Hispanic),% Hispanic,Average Annual Household Income ($),"% $0-4,999","% $5,000-9,999","% $10,000-14,999","% $15,000-19,999","% $20,000 and above",Average Annual Household Income (% AMI),% 0-30% AMI,% 30-50% AMI,% above 50% AMI,# of Households Reporting,Tenant Data Source,"Vacancy Rate, 2018-2022, Tract","Vacancy Rate, 2018-2022, County","Homeownership Rate, 2018-2022, Tract","Homeownership Rate, 2018-2022, County","Renter Rate, 2018-2022, Tract","Renter Rate, 2018-2022, County","Rental Vacancy Rate, 2018-2022, Tract","Rental Vacancy Rate, 2018-2022, County","% White, Non-Hispanic, 2018-2022, Tract","% White, Non-Hispanic, 2018-2022, County","% African-American, Non-Hispanic, 2018-2022, Tract","% African-American, Non-Hispanic, 2018-2022, County","% Hispanic, 2018-2022, Tract","% Hispanic, 2018-2022, County","% Asian, Non-Hispanic, 2018-2022, Tract","% Asian, Non-Hispanic, 2018-2022, County","% Other Race, Non-Hispanic, 2018-2022, Tract","% Other Race, Non-Hispanic, 2018-2022, County","Median Single Family Sale Price, 2023, Tract","Median Single Family Sale Price, 2023, County","Change in Median Single Family Sales Price, 2019-2023, Tract","Change in Median Single Family Sales Price, 2019-2023, County","Average Just Value/Sq. Ft, Single Family 2023, Tract ($)","Average Just Value/Sq. Ft, Single Family 2023, County ($)","Average Just Value/Sq. Ft, Multifamily 10+ Units 2023, Tract ($)","Average Just Value/Sq. Ft, Multifamily 10+ Units 2023, County ($)","Median Just Value/Sq. Ft, Single Family 2023, Tract ($)","Median Just Value/Sq. Ft, Single Family 2023, County ($)","Median Just Value/Sq. Ft, Multifamily 10+ Units 2023, Tract ($)","Median Just Value/Sq. Ft, Multifamily 10+ Units 2023, County ($)","Median Condo Sale Price, 2023, Tract","Median Condo Sale Price, 2023, County","% of Households with at least one child age 0-17, 2018-2022, Tract","% of Households with at least one child age 0-17, 2018-2022, County","% of Households with at least one person age 65 or older, 2018-2022, Tract","% of Households with at least one person age 65 or older, 2018-2022, County",Total Living Area,Number of Buildings,REAC Score (HUD only),REAC Inspection Date,Construction Type (FHFC Only)',In unincorporated area
1213,N/A,800003897,N/A,3926002000,Alachua Apts,13605 NW County Road 235,Alachua,32615,Alachua,Medium,Rental Assistance/HUD,70,70,70.0,,0,1,0,0,0,Family,Ready for Occupancy,1979,1979.0,For-Profit,2044.0,29.779313989,-82.497541989,1819,1,0,18,36,16,0,0,"Sherwood Oaks Preservation, LP 1022 W 23rd Street, Suite 300 -  Panama City, FL 32405-  8507698981",,,,,,0.0,790.0,898.0,1144.0,0.0,90.0,0.0,67.0,80.0,99.0,0.0,0,,,1659800.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,0,0,0,0,0,0,0,0,0,0,2044,0,0,0,0,0,0,,0,N,N,2.2,24.0,0,37,4,-1,16,16474,10,8,37,20,25,22.0,78,20,2,51,HUD Picture of Subsidized Households,0.06,0.12,0.62,0.55,0.38,0.45,1.0,0.59,0.71,0.6,0.12,0.19,0.13,0.11,0.02,0.06,0.02,0.04,330000.0,320000.0,103000.0,93700.0,138.0,140.0,83.0,125.0,147.0,141.0,88.0,114.0,0.0,180000.0,19.46,22.34,32.83,26.18,56979.0,15.0,96,2025-05-20,0,
112,N/A,N/A,N/A,3563000000,Alachua Villas,14000 NW 154TH AVE,Alachua,32615,Alachua,Medium,Rental Assistance/RD;Section 515,35,35,20.0,,0,0,0,1,0,Family,Ready for Occupancy,1988,1988.0,Limited Dividend,2043.0,29.79681402,-82.495139987,1816,1,0,6,25,4,0,0,0,,,,,,0.0,507.0,534.0,571.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0,,,579000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1988,1988,0,0,0,0,0,0,0,0,0,0,0,0,0,2043,,0,N,N,1.7,34.0,19,30,0,55,34,24785,0,15,24,27,33,39.0,0,0,0,58,RD Multi Family Tenant Report,0.19,0.12,0.8,0.55,0.2,0.45,0.0,0.59,0.6,0.6,0.24,0.19,0.11,0.11,0.03,0.06,0.02,0.04,299900.0,320000.0,76000.0,93700.0,131.0,140.0,97.0,125.0,135.0,141.0,85.0,114.0,162000.0,180000.0,34.3,22.34,38.12,26.18,26660.0,9.0,0,0,0,
7872,3308,N/A,N/A,3214035000,Arbours at Merrillwood I,13207 NW 153rd Place,Alachua,32615,Alachua,Medium,Housing Credits 9%;National Housing Trust Fund (NHTF),40,40,,,1,0,0,0,0,Elderly;Family;Link,Ready for Occupancy,2022,1971.0,0,2074.0,29.794628,-82.486897,1802,2,0,23,17,0,0,,,4.0,0.0,36.0,0.0,0.0,,,,,,0.0,,,,,,0,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,0,0,0,0,0,0,0,0,0,2072,0,0,0,0,0,0,0,0,0,0,0,,,0,N,1.15,100.0,0,0,0,0,0,19968,3,0,33,25,40,26.65,65,33,2,40,FHFC TIC Report,0.14,0.12,0.83,0.55,0.17,0.45,0.21,0.59,0.45,0.6,0.45,0.19,0.04,0.11,0.01,0.06,0.05,0.04,251500.0,320000.0,111500.0,93700.0,117.0,140.0,,125.0,120.0,141.0,,114.0,0.0,180000.0,39.3,22.34,25.72,26.18,,,0,0,0,
7999,3454,N/A,N/A,3926002000,Sherwood Oaks,13605 NW County Road 235,Alachua,32615,Alachua,Medium,Housing Credits 9%,124,124,,,1,0,0,0,0,Family;Link,Ready for Occupancy,2024,1979.0,0,2074.0,29.7795519999999,-82.49648,1819,1,0,26,66,32,0,,,25.0,0.0,99.0,0.0,0.0,,,,,,0.0,,,,,,0,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,0,0,0,0,0,0,0,0,0,2074,0,0,0,0,0,0,0,0,0,0,0,,,0,N,2.3,27.0,54,0,0,0,0,19634,11,11,27,12,40,22.65,75,19,6,123,FHFC TIC Report,0.06,0.12,0.62,0.55,0.38,0.45,1.0,0.59,0.71,0.6,0.12,0.19,0.13,0.11,0.02,0.06,0.02,0.04,330000.0,320000.0,103000.0,93700.0,138.0,140.0,83.0,125.0,147.0,141.0,88.0,114.0,0.0,180000.0,19.46,22.34,32.83,26.18,,,0,0,Construction Category Not Found,
1356,N/A,800004435,N/A,3926020000,Sherwood Oaks Apartments,13400 NW 140th St,Alachua,32615,Alachua,Medium,Rental Assistance/HUD,54,54,54.0,,0,1,0,0,0,Family,Ready for Occupancy,1981,1981.0,For-Profit,2044.0,29.778324002,-82.495204025,1819,1,0,8,30,16,0,0,"Sherwood Oaks Preservation, LP 1022 W 23rd Street, Suite 300 -  Panama City, FL 32405-  8507698981",,,,,,0.0,842.0,984.0,1243.0,0.0,88.0,0.0,71.0,96.0,115.0,0.0,0,,,1308700.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,0,0,0,0,0,0,0,0,0,0,2044,0,0,0,0,0,0,,0,N,N,2.4,27.0,0,31,7,-1,29,17408,20,9,25,7,39,22.0,73,20,7,45,HUD Picture of Subsidized Households,0.06,0.12,0.62,0.55,0.38,0.45,1.0,0.59,0.71,0.6,0.12,0.19,0.13,0.11,0.02,0.06,0.02,0.04,330000.0,320000.0,103000.0,93700.0,138.0,140.0,83.0,125.0,147.0,141.0,88.0,114.0,0.0,180000.0,19.46,22.34,32.83,26.18,48982.0,11.0,83b,2018-11-19,0,
4991,1243,N/A,N/A,4305003001,Brookside,100 NW 146th Drive,Alachua-Unincorporated,32669,Alachua,Medium,Local Bonds;SAIL,176,124,,,1,0,0,0,1,Family,Ready for Occupancy,2003,2003.0,For-Profit,2056.0,29.654425015,-82.499750034,2201,3,0,32,80,40,24,0,CED Companies,0.0,0.0,124.0,0.0,0.0,0.0,673.0,792.0,871.0,940.0,94.0,0.0,121.0,162.0,215.0,274.0,98,,,4560000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2004,0,0,0,0,0,0,0,0,0,2056,0,0,0,0,0,0,0,0,0,0,2034.0,N,N,Y,2.68,26.0,60,0,0,0,0,27571,4,2,21,4,68,31.21,47,47,6,47,FHFC TIC Report,0.07,0.12,0.84,0.55,0.16,0.45,0.54,0.59,0.59,0.6,0.21,0.19,0.05,0.11,0.07,0.06,0.08,0.04,375000.0,320000.0,105050.0,93700.0,158.0,140.0,76.0,125.0,155.0,141.0,76.0,114.0,0.0,180000.0,38.81,22.34,27.59,26.18,199568.0,13.0,0,0,New Construction,1.0
7414,2778,N/A,N/A,4255018000,Century Oak Home at the Arc of Alachua County,17819 NW 32nd Avenue,Alachua-Unincorporated,32606,Alachua,Medium,Legislative Appropriation,6,6,,,1,0,0,0,0,Persons with Disabilities,Ready for Occupancy,2017,1996.0,Non-Profit,2027.0,29.680887018,-82.53194702,2201,3,0,0,0,0,0,0,"Arc of Alachua County, Inc.",2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,N,N,1.0,,0,0,0,0,0,8854,17,67,17,0,0,17.17,100,0,0,6,FHFC TIC Report,0.07,0.12,0.84,0.55,0.16,0.45,0.54,0.59,0.59,0.6,0.21,0.19,0.05,0.11,0.07,0.06,0.08,0.04,375000.0,320000.0,105050.0,93700.0,158.0,140.0,76.0,125.0,155.0,141.0,76.0,114.0,0.0,180000.0,38.81,22.34,27.59,26.18,0.0,1.0,0,0,0,1.0
2106,1117,N/A,N/A,6655006000,Harbor Cove,6815 W University Avenue,Alachua-Unincorporated,32607,Alachua,Medium,Housing Credits 4%;SAIL,208,207,,,1,0,0,0,0,Family,Ready for Occupancy,2004,2002.0,For-Profit,2054.0,29.651106996,-82.414853006,2217,2,0,48,96,48,16,0,CED Companies,0.0,23.0,184.0,0.0,0.0,0.0,719.0,840.0,946.0,1050.0,84.0,0.0,0.0,79.0,0.0,0.0,95,,,4578800.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,0,2002,0,0,0,0,0,0,0,0,0,2054,0,0,0,0,0,0,0,0,0,0,,N,N,N,2.67,13.0,63,0,0,0,0,23317,15,9,15,8,54,26.57,55,37,8,164,FHFC TIC Report,0.25,0.12,0.12,0.55,0.88,0.45,0.96,0.59,0.36,0.6,0.36,0.19,0.21,0.11,0.02,0.06,0.06,0.04,142500.0,320000.0,73500.0,93700.0,86.0,140.0,104.0,125.0,86.0,141.0,103.0,114.0,152000.0,180000.0,27.54,22.34,9.73,26.18,225064.0,14.0,0,0,New Construction,1.0
1459,493,N/A,N/A,6913001000,Madison Cove,5500 SW Archer Road,Alachua-Unincorporated,32609,Alachua,Medium,Housing Credits 9%;State HOME,97,92,,,1,0,0,0,0,Family,Ready for Occupancy,1998,1998.0,For-Profit,2048.0,29.609404011,-82.402258023,2219,1,0,0,57,40,0,"Stefan Davis, 20725 SW 46th Avenue, Newberry, 32669, contact phone: 3524727773, email: stefanD@davisandsons.com",Davis and Sons Construction Company Inc,15.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98,,,1886200.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1996,0,0,1996,0,0,0,0,0,0,2048,0,0,2048,0,0,0,0,0,0,0,0,,N,N,N,2.23,27.0,42,0,0,0,0,32774,0,2,15,7,76,38.29,38,42,20,95,FHFC TIC Report,0.16,0.12,0.35,0.55,0.65,0.45,0.95,0.59,0.44,0.6,0.3,0.19,0.13,0.11,0.1,0.06,0.03,0.04,203000.0,320000.0,105000.0,93700.0,129.0,140.0,118.0,125.0,112.0,141.0,101.0,114.0,189500.0,180000.0,18.83,22.34,19.94,26.18,85251.0,14.0,0,0,New Construction,1.0
1380,2797,800004265,N/A,6683000000,Majestic Oaks Apartments,5800 SW 20th Avenue,Alachua-Unincorporated,32607,Alachua,Medium,Housing Credits 9%;Rental Assistance/HUD,172,172,172.0,,1,1,0,0,0,Family;Link,Ready for Occupancy,1981,1981.0,For-Profit,2067.0,29.640855007,-82.405111977,2217,3,0,36,136,0,0,"J. David Page, 5403 West Gray Street, Tampa, 33609, contact phone: 2534603000, email: jdpage@vaughnbay.net","SP MO Apartments LLC 31899 Del Obispo Street - Suite 150 San Juan Capistrano, CA 92675-  310-553-5711",52.0,0.0,120.0,0.0,0.0,0.0,1360.0,1515.0,0.0,0.0,118.0,0.0,89.0,161.0,0.0,0.0,97,,,5020000.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,0,0,0,2025,0,0,0,0,0,2067,0,0,0,0,2044,0,0,0,0,0,0,,0,N,N,2.1,11.0,0,14,-1,3,8,9366,50,4,21,8,17,13.0,89,7,4,167,HUD Picture of Subsidized Households,0.25,0.12,0.12,0.55,0.88,0.45,0.96,0.59,0.36,0.6,0.36,0.19,0.21,0.11,0.02,0.06,0.06,0.04,142500.0,320000.0,73500.0,93700.0,86.0,140.0,104.0,125.0,86.0,141.0,103.0,114.0,152000.0,180000.0,27.54,22.34,9.73,26.18,145051.0,15.0,88,2024-08-08,A/P,1.0
